org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url,additions,deletions,changed_lines
dogecoin,dogecoin,pmzajaczkowski,https://avatars.githubusercontent.com/u/9041884?v=4,3997,cleanup: remove trailing whitespace across src/,2026-05-12T02:42:33Z,2026-05-12,https://github.com/dogecoin/dogecoin/pull/3997,,,
dogecoin,dogecoin,pmzajaczkowski,https://avatars.githubusercontent.com/u/9041884?v=4,3996,Remove duplicate #include lines in three source files,2026-05-12T02:42:19Z,2026-05-12,https://github.com/dogecoin/dogecoin/pull/3996,,,
dogecoin,dogecoin,pmzajaczkowski,https://avatars.githubusercontent.com/u/9041884?v=4,3988,style: add missing space after if/for/while keywords (per developer-notes.md),2026-05-07T18:19:22Z,2026-05-07,https://github.com/dogecoin/dogecoin/pull/3988,,,
dogecoin,dogecoin,thisiskeanyvy,https://avatars.githubusercontent.com/u/48371699?v=4,3994,docs: add maintenance disclaimer and update shared-libraries.md,2026-05-07T16:19:00Z,2026-05-07,https://github.com/dogecoin/dogecoin/pull/3994,,,
dogecoin,dogecoin,pmzajaczkowski,https://avatars.githubusercontent.com/u/9041884?v=4,3987,docs: update branch strategy to reflect master as active branch,2026-05-03T15:46:03Z,2026-05-03,https://github.com/dogecoin/dogecoin/pull/3987,,,
dogecoin,dogecoin,Project516,https://avatars.githubusercontent.com/u/138796702?v=4,3989,docs: improve Fedora build instructions,2026-05-03T15:44:49Z,2026-05-03,https://github.com/dogecoin/dogecoin/pull/3989,,,
dogecoin,dogecoin,cuiweixie,https://avatars.githubusercontent.com/u/1579517?v=4,3979,dogecoin: remove unused bnOld in retarget calculation,2026-04-01T11:50:13Z,2026-04-01,https://github.com/dogecoin/dogecoin/pull/3979,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,3798,update gitian key for patricklodder,2026-03-30T17:41:04Z,2026-03-30,https://github.com/dogecoin/dogecoin/pull/3798,,,
dogecoin,dogecoin,cuiweixie,https://avatars.githubusercontent.com/u/1579517?v=4,3978,validation: fix incorrect fee value in mempool rejection message,2026-03-29T21:05:55Z,2026-03-29,https://github.com/dogecoin/dogecoin/pull/3978,,,
dogecoin,dogecoin,xanimo,https://avatars.githubusercontent.com/u/31856436?v=4,3980,ci: upgrade GitHub Actions from Node.js 20 to Node.js 24,2026-03-29T09:44:07Z,2026-03-29,https://github.com/dogecoin/dogecoin/pull/3980,,,
dogecoin,dogecoin,xanimo,https://avatars.githubusercontent.com/u/31856436?v=4,3969,ci: upgrade pip/pin lief version 0.12.3,2026-01-31T15:05:41Z,2026-01-31,https://github.com/dogecoin/dogecoin/pull/3969,,,
dogecoin,dogecoin,xanimo,https://avatars.githubusercontent.com/u/31856436?v=4,3968,update old xanimo-key,2026-01-30T09:34:00Z,2026-01-30,https://github.com/dogecoin/dogecoin/pull/3968,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,3929,Build: remove autoconf boost debt,2026-01-23T07:30:44Z,2026-01-23,https://github.com/dogecoin/dogecoin/pull/3929,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,3928,build: do not link boost_system if boost >= 1.69.0,2026-01-18T20:53:35Z,2026-01-18,https://github.com/dogecoin/dogecoin/pull/3928,,,
dogecoin,dogecoin,EricGrill,https://avatars.githubusercontent.com/u/694055?v=4,3962,docs: Update vMerkleBranch comment in auxpow.h,2026-01-17T16:57:28Z,2026-01-17,https://github.com/dogecoin/dogecoin/pull/3962,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,3840,rpc: unify auxpow caching / simplify implementation,2025-05-28T00:02:50Z,2025-05-28,https://github.com/dogecoin/dogecoin/pull/3840,,,
dogecoin,dogecoin,nformant1,https://avatars.githubusercontent.com/u/54002590?v=4,3846,Update format build-windows.md,2025-05-27T23:37:55Z,2025-05-27,https://github.com/dogecoin/dogecoin/pull/3846,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,3838,rpc: moveonly: untangle auxpow from rpc/mining.cpp,2025-05-05T02:21:34Z,2025-05-05,https://github.com/dogecoin/dogecoin/pull/3838,,,
dogecoin,dogecoin,michilumin,https://avatars.githubusercontent.com/u/6802127?v=4,3839,Update michilumin key expiry for 2025,2025-05-04T09:39:51Z,2025-05-04,https://github.com/dogecoin/dogecoin/pull/3839,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,3812,ci: check subtrees,2025-04-21T21:29:35Z,2025-04-21,https://github.com/dogecoin/dogecoin/pull/3812,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,3799,doc: elaborate release binary integrity checking further,2025-04-20T02:13:08Z,2025-04-20,https://github.com/dogecoin/dogecoin/pull/3799,,,
