org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url
hyperliquid-dex,hyperliquid-python-sdk,hl-core-dev,https://avatars.githubusercontent.com/u/225128674?v=4,299,Support multisig userSetAbstraction,2026-06-04T19:46:56Z,2026-06-04,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/299
hyperliquid-dex,node,Frixoe,https://avatars.githubusercontent.com/u/21309909?v=4,146,Update sentry IP for Luganodes,2026-05-20T13:36:57Z,2026-05-20,https://github.com/hyperliquid-dex/node/pull/146
hyperliquid-dex,node,IbrarMakaveli,https://avatars.githubusercontent.com/u/26463669?v=4,145,Update IP node Germany for Imperator.co,2026-05-20T13:34:34Z,2026-05-20,https://github.com/hyperliquid-dex/node/pull/145
hyperliquid-dex,hyperliquid-python-sdk,traderben,https://avatars.githubusercontent.com/u/95141121?v=4,289,Version 0.23.0,2026-04-14T21:50:42Z,2026-04-14,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/289
hyperliquid-dex,hyperliquid-python-sdk,lmlmt,https://avatars.githubusercontent.com/u/112962729?v=4,284,Add convert multi-sig to normal user example,2026-04-01T03:04:57Z,2026-04-01,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/284
hyperliquid-dex,node,raghu-Luganodes,https://avatars.githubusercontent.com/u/253939489?v=4,142,Update Luganodes root peer IP,2026-03-27T15:17:22Z,2026-03-27,https://github.com/hyperliquid-dex/node/pull/142
hyperliquid-dex,node,janklimo,https://avatars.githubusercontent.com/u/7811733?v=4,137,Update Purrposeful root peer IP,2026-03-11T11:09:25Z,2026-03-11,https://github.com/hyperliquid-dex/node/pull/137
hyperliquid-dex,node,curlycrypto184,https://avatars.githubusercontent.com/u/57609195?v=4,139,Update Nansen X HypurrCollective Seed nodes IP addresses,2026-03-11T11:07:56Z,2026-03-11,https://github.com/hyperliquid-dex/node/pull/139
hyperliquid-dex,hyperliquid-python-sdk,traderben,https://avatars.githubusercontent.com/u/95141121?v=4,260,Version 0.22.0,2026-02-04T19:05:59Z,2026-02-04,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/260
hyperliquid-dex,node,0x0Glitch,https://avatars.githubusercontent.com/u/185660885?v=4,129,Update README.md,2026-01-19T14:34:24Z,2026-01-19,https://github.com/hyperliquid-dex/node/pull/129
hyperliquid-dex,node,Syavel,https://avatars.githubusercontent.com/u/32241006?v=4,135,Update Hypurrscan IP address in README,2026-01-19T14:34:03Z,2026-01-19,https://github.com/hyperliquid-dex/node/pull/135
hyperliquid-dex,hyperliquid-python-sdk,traderben,https://avatars.githubusercontent.com/u/95141121?v=4,230,Version 0.21.0,2025-11-18T23:44:37Z,2025-11-18,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/230
hyperliquid-dex,hyperliquid-python-sdk,traderben,https://avatars.githubusercontent.com/u/95141121?v=4,225,Fix market orders for HIP-3 DEXs,2025-11-04T04:34:03Z,2025-11-04,https://github.com/hyperliquid-dex/hyperliquid-python-sdk/pull/225
hyperliquid-dex,node,IbrarMakaveli,https://avatars.githubusercontent.com/u/26463669?v=4,125,Set back original JP node,2025-10-30T03:02:19Z,2025-10-30,https://github.com/hyperliquid-dex/node/pull/125
hyperliquid-dex,hyperliquid-rust-sdk,kfastov,https://avatars.githubusercontent.com/u/1312744?v=4,133,Fix: accept null premium/impact_pxs in AssetContext,2025-10-21T00:05:17Z,2025-10-21,https://github.com/hyperliquid-dex/hyperliquid-rust-sdk/pull/133
hyperliquid-dex,hyperliquid-rust-sdk,kfastov,https://avatars.githubusercontent.com/u/1312744?v=4,141,chore(ci): align toolchain to stable (fix cargo-fmt in CI),2025-10-20T23:27:46Z,2025-10-20,https://github.com/hyperliquid-dex/hyperliquid-rust-sdk/pull/141
hyperliquid-dex,hyperliquid-rust-sdk,silva-fj,https://avatars.githubusercontent.com/u/8374946?v=4,147,Make Eip712 trait public,2025-10-20T23:04:16Z,2025-10-20,https://github.com/hyperliquid-dex/hyperliquid-rust-sdk/pull/147
hyperliquid-dex,hyperliquid-rust-sdk,BillyWooo,https://avatars.githubusercontent.com/u/14319174?v=4,155,Add SendAsset action with EIP-712 signing,2025-10-20T21:03:19Z,2025-10-20,https://github.com/hyperliquid-dex/hyperliquid-rust-sdk/pull/155
hyperliquid-dex,node,dev-minsu,https://avatars.githubusercontent.com/u/5452940?v=4,124,fix: revert to original fullnode ip,2025-10-18T04:28:54Z,2025-10-18,https://github.com/hyperliquid-dex/node/pull/124
